Frequency  	Gain       
10000000    	-132.346668 
10022511.48 	-132.288031 
10045073.64 	-132.229395 
10067686.59 	-132.170757 
10090350.45 	-132.11212  
10113065.32 	-132.053483 
10135831.33 	-131.994845 
10158648.59 	-131.936207 
10181517.22 	-131.877569 
10204437.32 	-131.818931 
10227409.02 	-131.760292 
10250432.44 	-131.701653 
10273507.68 	-131.643014 
10296634.87 	-131.584375 
10319814.12 	-131.525736 
10343045.56 	-131.467096 
10366329.28 	-131.408457 
10389665.43 	-131.349817 
10413054.11 	-131.291177 
10436495.44 	-131.232536 
10459989.53 	-131.173896 
10483536.52 	-131.115255 
10507136.52 	-131.056614 
10530789.64 	-130.997973 
10554496.01 	-130.939332 
10578255.74 	-130.88069  
10602068.97 	-130.822048 
10625935.8  	-130.763406 
10649856.35 	-130.704764 
10673830.76 	-130.646122 
10697859.14 	-130.587479 
10721941.6  	-130.528836 
10746078.28 	-130.470193 
10770269.3  	-130.41155  
10794514.77 	-130.352906 
10818814.83 	-130.294262 
10843169.58 	-130.235618 
10867579.17 	-130.176974 
10892043.7  	-130.11833  
10916563.3  	-130.059685 
10941138.11 	-130.00104  
10965768.23 	-129.942395 
10990453.8  	-129.88375  
11015194.94 	-129.825104 
11039991.78 	-129.766459 
11064844.44 	-129.707812 
11089753.04 	-129.649166 
11114717.72 	-129.59052  
11139738.6  	-129.531873 
11164815.8  	-129.473226 
11189949.46 	-129.414579 
11215139.7  	-129.355931 
11240386.64 	-129.297284 
11265690.41 	-129.238636 
11291051.15 	-129.179988 
11316468.99 	-129.121339 
11341944.04 	-129.062691 
11367476.43 	-129.004042 
11393066.31 	-128.945393 
11418713.79 	-128.886743 
11444419.01 	-128.828094 
11470182.09 	-128.769444 
11496003.17 	-128.710793 
11521882.38 	-128.652143 
11547819.85 	-128.593492 
11573815.7  	-128.534842 
11599870.08 	-128.47619  
11625983.11 	-128.417539 
11652154.92 	-128.358887 
11678385.65 	-128.300235 
11704675.42 	-128.241583 
11731024.38 	-128.182931 
11757432.66 	-128.124278 
11783900.38 	-128.065625 
11810427.69 	-128.006972 
11837014.72 	-127.948318 
11863661.59 	-127.889665 
11890368.45 	-127.831011 
11917135.43 	-127.772356 
11943962.67 	-127.713702 
11970850.3  	-127.655047 
11997798.46 	-127.596392 
12024807.29 	-127.537736 
12051876.91 	-127.479081 
12079007.47 	-127.420425 
12106199.11 	-127.361768 
12133451.96 	-127.303112 
12160766.16 	-127.244455 
12188141.85 	-127.185798 
12215579.16 	-127.127141 
12243078.24 	-127.068483 
12270639.23 	-127.009825 
12298262.26 	-126.951167 
12325947.47 	-126.892508 
12353695    	-126.83385  
12381505    	-126.775191 
12409377.61 	-126.716531 
12437312.96 	-126.657872 
12465311.19 	-126.599212 
12493372.46 	-126.540551 
12521496.89 	-126.481891 
12549684.64 	-126.42323  
12577935.84 	-126.364569 
12606250.64 	-126.305907 
12634629.18 	-126.247246 
12663071.6  	-126.188583 
12691578.05 	-126.129921 
12720148.68 	-126.071258 
12748783.62 	-126.012595 
12777483.02 	-125.953932 
12806247.03 	-125.895269 
12835075.79 	-125.836605 
12863969.45 	-125.77794  
12892928.15 	-125.719276 
12921952.05 	-125.660611 
12951041.28 	-125.601946 
12980195.99 	-125.54328  
13009416.34 	-125.484614 
13038702.46 	-125.425948 
13068054.51 	-125.367282 
13097472.64 	-125.308615 
13126957    	-125.249948 
13156507.72 	-125.19128  
13186124.97 	-125.132613 
13215808.9  	-125.073944 
13245559.64 	-125.015276 
13275377.36 	-124.956607 
13305262.2  	-124.897938 
13335214.32 	-124.839269 
13365233.87 	-124.780599 
13395320.99 	-124.721929 
13425475.84 	-124.663258 
13455698.58 	-124.604587 
13485989.35 	-124.545916 
13516348.32 	-124.487245 
13546775.62 	-124.428573 
13577271.42 	-124.3699   
13607835.87 	-124.311228 
13638469.13 	-124.252555 
13669171.35 	-124.193882 
13699942.68 	-124.135208 
13730783.28 	-124.076534 
13761693.31 	-124.01786  
13792672.92 	-123.959185 
13823722.27 	-123.90051  
13854841.52 	-123.841834 
13886030.83 	-123.783158 
13917290.34 	-123.724482 
13948620.22 	-123.665806 
13980020.64 	-123.607129 
14011491.74 	-123.548451 
14043033.68 	-123.489774 
14074646.63 	-123.431096 
14106330.75 	-123.372417 
14138086.19 	-123.313738 
14169913.12 	-123.255059 
14201811.7  	-123.19638  
14233782.08 	-123.1377   
14265824.44 	-123.079019 
14297938.92 	-123.020339 
14330125.7  	-122.961657 
14362384.94 	-122.902976 
14394716.8  	-122.844294 
14427121.44 	-122.785612 
14459599.03 	-122.726929 
14492149.73 	-122.668246 
14524773.71 	-122.609562 
14557471.13 	-122.550878 
14590242.16 	-122.492194 
14623086.96 	-122.433509 
14656005.69 	-122.374824 
14688998.53 	-122.316138 
14722065.65 	-122.257453 
14755207.2  	-122.198766 
14788423.36 	-122.140079 
14821714.29 	-122.081392 
14855080.17 	-122.022704 
14888521.16 	-121.964016 
14922037.43 	-121.905328 
14955629.15 	-121.846639 
14989296.49 	-121.78795  
15023039.62 	-121.72926  
15056858.71 	-121.67057  
15090753.93 	-121.611879 
15124725.45 	-121.553188 
15158773.45 	-121.494496 
15192898.1  	-121.435804 
15227099.57 	-121.377112 
15261378.03 	-121.318419 
15295733.65 	-121.259726 
15330166.62 	-121.201032 
15364677.09 	-121.142338 
15399265.26 	-121.083643 
15433931.29 	-121.024948 
15468675.36 	-120.966253 
15503497.64 	-120.907557 
15538398.31 	-120.84886  
15573377.55 	-120.790163 
15608435.53 	-120.731466 
15643572.44 	-120.672768 
