Freq,Value
10022511.48,-90.5515445
15023039.62,-91.0315586
19988548.12,-91.468043
24972437.65,-91.890321
29961427.41,-92.3054284
34990110.38,-92.7198236
39954205.59,-93.1268173
44910071.86,-93.5321623
49916277.16,-93.9413493
54860253.81,-94.3456743
59888543.35,-94.7575081
64938163.16,-95.1720281
69940150.5,-95.5838325
74820987.79,-95.9870346
79862656.1,-96.4051606
84861545.62,-96.8215865
89768713.24,-97.2323532
94746352.57,-97.6512152
99775390.8,-98.0768436
104835365.2,-98.5077679
109657682.3,-98.921141
114701820.9,-99.3565388
119708503.0,-99.7919562
124653111.9,-100.22537
129801959.9,-100.680506
134556985.8,-101.10451
139800206.4,-101.576403
144595990.3,-102.012271
149556291.5,-102.467617
154686753.6,-102.943717
159633854.4,-103.408042
164739170.5,-103.89294
169625908.8,-104.362846
174657604.8,-104.852941
179434624.4,-105.324442
184757281.1,-105.85736
189384202.7,-106.327479
194564006.2,-106.861809
199436520.0,-107.372653
204431057.4,-107.90507
209550674.2,-108.460624
214316045.7,-108.987219
219683214.6,-109.591979
224679009.2,-110.166733
229272286.7,-110.705918
234486145.4,-111.331251
239279917.3,-111.919519
244171691.9,-112.533883
249163472.6,-113.176488
254257303.9,-113.849756
259455272.1,-114.556437
264164832.0,-115.215177
269565347.1,-115.993908
274458422.3,-116.722757
279440315.2,-117.489523
284512638.0,-118.298
289026391.0,-119.043063
294272717.6,-119.942119
298941312.9,-120.774799
304367612.4,-121.785136
309196361.7,-122.726566
314101718.5,-123.728171
319084898.1,-124.797446
324147135.1,-125.943305
329289683.7,-127.176457
334513818.2,-128.50989
339057564.0,-129.744623
344436664.6,-131.309433
349115193.7,-132.774528
353857271.9,-134.373731
359471167.8,-136.440714
364353912.6,-138.419617
369302980.3,-140.631242
374319272.0,-143.127227
379403700.5,-145.975891
383693440.8,-148.684558
388905199.9,-152.442352
394187751.1,-156.910948
398644647.7,-161.340371
404059491.1,-167.768339
408628002.8,-174.323832
414178451.4,-184.040643
418861373.5,-193.98002
423597243.2,-205.67975
429351021.0,-221.544205
434205492.2,-235.277691
439114850.7,-248.372033
444079716.9,-260.124919
449100718.6,-270.336689
454178490.4,-279.155639
459313674.2,-286.867911
463463593.9,-292.442143
468703760.0,-298.889169
474003174.2,-304.966905
478285814.2,-309.690176
483693568.2,-315.554524
489162465.2,-321.502468
493582070.0,-326.401272
499162771.6,-332.785883
503672729.7,-338.153989
508223435.4,-343.786261
513969680.1,-351.217844
518613419.2,-357.46652
523299114.7,-363.950128
529215813.1,-372.29632
533997301.7,-379.070916
538821991.2,-385.835014
543690272.1,-392.499512
548602538.1,-398.987138
553559186.6,-405.240238
558560618.7,-411.224465
563607238.9,-416.928599
568699455.6,-422.361738
573837680.7,-427.549423
579022329.8,-432.529892
582941534.7,-436.157871
588208437.6,-440.896407
593522927.2,-445.579528
598885433.5,-450.277908
602939084.9,-453.859951
608386666.6,-458.787688
613883467.4,-463.987467
618038635.5,-468.141233
623622642.3,-474.136258
627843731.4,-479.066942
633516327.7,-486.367165
637804383.9,-492.485522
643566975.1,-501.611906
647923060.7,-509.201344
653777074.6,-520.18949
658202268.9,-528.865731
662657415.8,-537.636406
668644555.2,-548.989034
673170382.4,-556.934505
677726843.4,-564.220616
683850135.8,-572.815952
688478884.4,-578.442696
693138963.4,-583.428575
697830584.9,-587.84587
702553962.3,-591.768496
708901568.9,-596.347191
713699882.1,-599.369988
718530673.4,-602.096545
723394162.7,-604.569063
728290571.4,-606.822988
733220122.1,-608.888033
738183039.3,-610.789114
743179548.8,-612.54717
748209877.9,-614.17986
753274255.7,-615.702134
758372912.5,-617.126704
763506080.3,-618.46443
768673992.9,-619.724632
772138686.5,-620.525712
777365030.2,-621.674027
782626749.3,-622.763943
787924083.1,-623.800993
793257272.8,-624.790026
798626561.0,-625.735305
802226261.8,-626.343063
807656258.0,-627.223579
813123008.1,-628.069466
818626760.7,-628.88348
822316609.7,-629.409674
827882590.6,-630.175911
833486245.8,-630.916297
837243071.9,-631.396451
842910085.0,-632.097791
848615456.2,-632.777851
852440475.2,-633.220113
858210354.3,-633.867817
862078621.0,-634.28969
867913737.5,-634.908445
871825740.8,-635.312034
877726832.2,-635.904775
883667866.1,-636.483149
887650879.1,-636.86117
891651844.9,-637.233415
897687132.4,-637.781431
901733335.3,-638.140176
907836861.1,-638.668881
911928812.5,-639.01534
