Frequency  	Phase      
10000000    	-90.5491991 
10022511.48 	-90.5515445 
10045073.64 	-90.5538927 
10067686.59 	-90.5562437 
10090350.45 	-90.5585975 
10113065.32 	-90.5609541 
10135831.33 	-90.5633136 
10158648.59 	-90.565676  
10181517.22 	-90.5680412 
10204437.32 	-90.5704093 
10227409.02 	-90.5727802 
10250432.44 	-90.5751541 
10273507.68 	-90.5775309 
10296634.87 	-90.5799106 
10319814.12 	-90.5822933 
10343045.56 	-90.5846789 
10366329.28 	-90.5870675 
10389665.43 	-90.589459  
10413054.11 	-90.5918536 
10436495.44 	-90.5942511 
10459989.53 	-90.5966516 
10483536.52 	-90.5990552 
10507136.52 	-90.6014618 
10530789.64 	-90.6038715 
10554496.01 	-90.6062842 
10578255.74 	-90.6087    
10602068.97 	-90.6111189 
10625935.8  	-90.6135408 
10649856.35 	-90.6159659 
10673830.76 	-90.6183941 
10697859.14 	-90.6208255 
10721941.6  	-90.62326   
10746078.28 	-90.6256976 
10770269.3  	-90.6281384 
10794514.77 	-90.6305824 
10818814.83 	-90.6330296 
10843169.58 	-90.6354801 
10867579.17 	-90.6379337 
10892043.7  	-90.6403906 
10916563.3  	-90.6428507 
10941138.11 	-90.645314  
10965768.23 	-90.6477807 
10990453.8  	-90.6502506 
11015194.94 	-90.6527238 
11039991.78 	-90.6552004 
11064844.44 	-90.6576802 
11089753.04 	-90.6601634 
11114717.72 	-90.6626499 
11139738.6  	-90.6651398 
11164815.8  	-90.6676331 
11189949.46 	-90.6701297 
11215139.7  	-90.6726298 
11240386.64 	-90.6751332 
11265690.41 	-90.6776401 
11291051.15 	-90.6801504 
11316468.99 	-90.6826642 
11341944.04 	-90.6851814 
11367476.43 	-90.6877021 
11393066.31 	-90.6902263 
11418713.79 	-90.692754  
11444419.01 	-90.6952852 
11470182.09 	-90.6978199 
11496003.17 	-90.7003582 
11521882.38 	-90.7029    
11547819.85 	-90.7054454 
11573815.7  	-90.7079943 
11599870.08 	-90.7105469 
11625983.11 	-90.713103  
11652154.92 	-90.7156628 
11678385.65 	-90.7182262 
11704675.42 	-90.7207932 
11731024.38 	-90.7233639 
11757432.66 	-90.7259382 
11783900.38 	-90.7285163 
11810427.69 	-90.731098  
11837014.72 	-90.7336834 
11863661.59 	-90.7362726 
11890368.45 	-90.7388655 
11917135.43 	-90.7414621 
11943962.67 	-90.7440625 
11970850.3  	-90.7466667 
11997798.46 	-90.7492747 
12024807.29 	-90.7518864 
12051876.91 	-90.754502  
12079007.47 	-90.7571214 
12106199.11 	-90.7597446 
12133451.96 	-90.7623717 
12160766.16 	-90.7650027 
12188141.85 	-90.7676375 
12215579.16 	-90.7702762 
12243078.24 	-90.7729189 
