Freq,Value
10000.0,-156.539999
3010000.0,-163.21906
6020000.0,-154.627642
9020000.0,-151.064666
12020000.0,-150.862062
15020000.0,-147.449473
18030000.0,-152.496636
21030000.0,-141.565107
24030000.0,-136.904448
27040000.0,-131.198252
30040000.0,-132.999015
33040000.0,-130.8885
36050000.0,-127.141747
39050000.0,-129.337791
42050000.0,-121.067817
45050000.0,-122.996956
48060000.0,-122.158055
51060000.0,-121.83556
54060000.0,-117.500358
57070000.0,-128.54006
60070000.0,-126.622382
63070000.0,-128.297234
66080000.0,-134.875694
69080000.0,-145.040532
72080000.0,-141.603827
75080000.0,-140.527958
78090000.0,-142.216264
81090000.0,-147.766118
84090000.0,-149.062752
87100000.0,-147.250006
90100000.0,-143.11613
93100000.0,-143.029004
96110000.0,-147.256216
99110000.0,-148.846618
102110000.0,-144.394623
105110000.0,-150.344037
108120000.0,-139.017129
111120000.0,-133.320772
114120000.0,-132.311798
117130000.0,-138.889803
120130000.0,-126.788816
123130000.0,-128.534712
126140000.0,-119.099598
129140000.0,-124.256885
132140000.0,-109.052584
135140000.0,-103.561634
138150000.0,-106.762425
141150000.0,-104.77409
144150000.0,-96.4673938
147160000.0,-105.475204
150160000.0,-99.8112396
153160000.0,-95.6079698
156170000.0,-96.5772168
159170000.0,-116.476862
162170000.0,-106.22864
165170000.0,-109.621448
168180000.0,-116.267413
171180000.0,-116.731125
174180000.0,-123.243957
177190000.0,-122.694813
180190000.0,-134.270549
183190000.0,-128.237178
186200000.0,-137.298601
189200000.0,-137.881883
192200000.0,-133.388729
195200000.0,-153.396097
198210000.0,-139.659503
201210000.0,-143.583534
204210000.0,-154.744807
207220000.0,-150.695356
210220000.0,-153.005222
213220000.0,-144.823956
216230000.0,-148.65195
219230000.0,-136.925029
222230000.0,-147.240784
225230000.0,-143.418753
228240000.0,-144.558512
231240000.0,-126.663536
234240000.0,-145.609924
237250000.0,-130.045533
240250000.0,-122.212172
243250000.0,-124.094927
246260000.0,-122.643214
249260000.0,-116.694903
252260000.0,-125.028631
255260000.0,-115.146347
258270000.0,-118.333086
261270000.0,-122.366259
264270000.0,-127.534773
267280000.0,-129.265
270280000.0,-127.335417
273280000.0,-136.466665
276290000.0,-138.871654
279290000.0,-144.795637
282290000.0,-145.568355
285290000.0,-153.430756
288300000.0,-152.147019
291300000.0,-152.702502
294300000.0,-156.203316
297310000.0,-149.387233
300310000.0,-157.635184
303310000.0,-152.869542
306320000.0,-156.475282
309320000.0,-152.736913
312320000.0,-144.295727
315320000.0,-150.68578
318330000.0,-139.717001
321330000.0,-134.991599
324330000.0,-133.852795
327340000.0,-125.945952
330340000.0,-129.844573
333340000.0,-123.611672
336350000.0,-119.014172
339350000.0,-112.574557
342350000.0,-110.496236
345350000.0,-112.471682
348360000.0,-108.161698
351360000.0,-108.077226
354360000.0,-106.208739
357370000.0,-110.355216
360370000.0,-109.298171
363370000.0,-130.585038
366380000.0,-129.609859
369380000.0,-130.798436
372380000.0,-133.710175
375380000.0,-137.894259
378390000.0,-126.984449
381390000.0,-126.192046
384390000.0,-122.442509
387400000.0,-124.626651
390400000.0,-114.380947
393400000.0,-122.836525
396410000.0,-114.293587
399410000.0,-97.2086576
402410000.0,-106.194564
405410000.0,-94.4877947
408420000.0,-96.2886035
411420000.0,-101.651366
414420000.0,-94.0094876
417430000.0,-91.7745483
420430000.0,-83.1717203
423430000.0,-88.454778
426440000.0,-77.5385654
429440000.0,-72.9212589
432440000.0,-72.7736315
435440000.0,-80.6087343
438450000.0,-65.5527879
441450000.0,-58.1251233
444450000.0,-61.7240365
447460000.0,-57.1578917
450460000.0,-54.4901587
453460000.0,-61.6761148
456460000.0,-56.2687117
459470000.0,-69.9516155
462470000.0,-98.4380166
465470000.0,-70.1201501
468480000.0,-76.170339
471480000.0,-79.6425845
474480000.0,-85.1814771
477490000.0,-86.5478034
480490000.0,-96.9932383
483490000.0,-92.355763
486490000.0,-97.9446884
489500000.0,-107.542266
492500000.0,-92.3465633
495500000.0,-102.377822
498510000.0,-100.718227
501510000.0,-112.81565
504510000.0,-111.367991
507520000.0,-118.44819
510520000.0,-114.719675
513520000.0,-116.729999
516520000.0,-122.03211
519530000.0,-127.535726
522530000.0,-129.018747
525530000.0,-121.686987
528540000.0,-118.159623
531540000.0,-122.785899
534540000.0,-112.90163
537550000.0,-110.549699
540550000.0,-96.5950226
543550000.0,-94.7902648
546550000.0,-96.8222827
549560000.0,-95.9050876
552560000.0,-102.00587
555560000.0,-100.009087
558570000.0,-119.40918
561570000.0,-106.269956
564570000.0,-114.251979
567580000.0,-112.180355
570580000.0,-117.23335
573580000.0,-121.890353
576580000.0,-132.866055
579590000.0,-134.941115
582590000.0,-132.040156
585590000.0,-132.151216
588600000.0,-138.021561
591600000.0,-137.226456
594600000.0,-136.496713
597610000.0,-154.277304
600610000.0,-155.545
603610000.0,-143.84338
606610000.0,-139.078255
609620000.0,-139.936089
612620000.0,-146.122199
615620000.0,-146.89061
618630000.0,-143.311607
621630000.0,-132.743902
624630000.0,-129.958672
627640000.0,-124.481854
630640000.0,-123.569518
633640000.0,-116.974
636640000.0,-121.480444
639650000.0,-110.74983
642650000.0,-108.863759
645650000.0,-109.549586
648660000.0,-103.972303
651660000.0,-106.489268
654660000.0,-113.10068
657670000.0,-108.663509
660670000.0,-114.577804
663670000.0,-113.262795
666670000.0,-126.272241
669680000.0,-126.743632
672680000.0,-122.596736
675680000.0,-130.729482
678690000.0,-135.0683
681690000.0,-134.609351
684690000.0,-132.182053
687700000.0,-138.253756
690700000.0,-138.411009
693700000.0,-138.96262
696700000.0,-129.117045
699710000.0,-132.483521
702710000.0,-122.882566
705710000.0,-129.83515
708720000.0,-116.808968
711720000.0,-116.410906
714720000.0,-127.376281
717730000.0,-133.65192
720730000.0,-108.785431
723730000.0,-119.764835
726730000.0,-107.911568
729740000.0,-108.201526
732740000.0,-105.157011
735740000.0,-105.524577
738750000.0,-87.1148717
741750000.0,-90.9934181
744750000.0,-80.8698586
747760000.0,-91.3421547
750760000.0,-83.4180135
753760000.0,-84.2965144
756760000.0,-91.225304
759770000.0,-87.96621
762770000.0,-88.751936
765770000.0,-117.443549
768780000.0,-93.2547396
771780000.0,-103.523967
774780000.0,-120.945585
777790000.0,-109.360915
780790000.0,-108.829335
783790000.0,-112.647168
786790000.0,-119.222603
789800000.0,-116.053976
792800000.0,-130.928063
795800000.0,-124.704698
798810000.0,-129.734425
801810000.0,-131.583574
804810000.0,-140.000471
807820000.0,-131.221007
810820000.0,-141.094954
813820000.0,-155.361844
816820000.0,-161.371542
819830000.0,-146.086713
822830000.0,-143.445804
825830000.0,-138.678109
828840000.0,-142.329893
831840000.0,-129.058799
834840000.0,-139.909224
837850000.0,-130.136038
840850000.0,-133.139453
843850000.0,-129.061312
846850000.0,-133.536011
849860000.0,-143.720959
852860000.0,-146.045184
855860000.0,-126.597962
858870000.0,-137.605429
861870000.0,-146.760836
864870000.0,-137.684924
867870000.0,-142.554302
870880000.0,-147.804028
873880000.0,-148.482299
876880000.0,-156.711554
879890000.0,-158.693677
882890000.0,-153.953295
885890000.0,-155.142143
888900000.0,-157.234451
891900000.0,-152.200878
894900000.0,-160.931151
897900000.0,-163.855962
900910000.0,-159.298618
903910000.0,-153.863354
906910000.0,-156.496716
909920000.0,-175.053941
912920000.0,-152.012038
915920000.0,-150.942812
918930000.0,-155.220146
921930000.0,-169.498351
924930000.0,-143.865074
927930000.0,-140.726442
930940000.0,-145.647497
933940000.0,-139.111627
936940000.0,-136.647017
939950000.0,-130.126932
942950000.0,-125.427849
945950000.0,-127.857258
948960000.0,-133.597498
951960000.0,-123.882597
954960000.0,-124.410285
957960000.0,-127.289569
960970000.0,-140.28254
963970000.0,-149.769187
