Freq,Value
10022511.48,-132.288031
15023039.62,-121.72926
19988548.12,-114.271375
24972437.65,-108.44935
29961427.41,-103.677252
34990110.38,-99.6032551
39954205.59,-96.1108317
44910071.86,-93.0238806
49916277.16,-90.2246545
54860253.81,-87.7141613
59888543.35,-85.3736801
64938163.16,-83.2037119
69940150.5,-81.205084
74820987.79,-79.3789629
79862656.1,-77.6041092
84861545.62,-75.9419428
89768713.24,-74.3934023
94746352.57,-72.8971042
99775390.8,-71.4531414
104835365.2,-70.061707
109657682.3,-68.7870924
114701820.9,-67.5022725
119708503.0,-66.2712648
124653111.9,-65.0947315
129801959.9,-63.9071785
134556985.8,-62.8414613
139800206.4,-61.6977406
144595990.3,-60.6779668
149556291.5,-59.6473818
154686753.6,-58.6050731
159633854.4,-57.620791
164739170.5,-56.6245284
169625908.8,-55.6878433
174657604.8,-54.7391218
179434624.4,-53.851883
184757281.1,-52.8772904
189384202.7,-52.0409265
194564006.2,-51.1153635
199436520.0,-50.2539863
204431057.4,-49.3793135
209550674.2,-48.4903744
214316045.7,-47.6689764
219683214.6,-46.7497657
224679009.2,-45.8988357
229272286.7,-45.119661
234486145.4,-44.2380412
239279917.3,-43.429302
244171691.9,-42.6050508
249163472.6,-41.7641931
254257303.9,-40.9055273
259455272.1,-40.0277312
264164832.0,-39.2302305
269565347.1,-38.3121867
274458422.3,-37.476227
279440315.2,-36.6200791
284512638.0,-35.7422094
289026391.0,-34.9549204
294272717.6,-34.0315778
298941312.9,-33.2014409
304367612.4,-32.2252252
309196361.7,-31.3450124
314101718.5,-30.4384462
319084898.1,-29.5033066
324147135.1,-28.537091
329289683.7,-27.5369644
334513818.2,-26.4996991
339057564.0,-25.5782696
344436664.6,-24.4618136
349115193.7,-23.4658556
353857271.9,-22.4302508
359471167.8,-21.1666224
364353912.6,-20.030783
369302980.3,-18.84075
374319272.0,-17.5905769
379403700.5,-16.2736432
383693440.8,-15.1200657
388905199.9,-13.6622113
394187751.1,-12.1183341
398644647.7,-10.763958
404059491.1,-9.0618451
408628002.8,-7.59414243
414178451.4,-5.82039554
418861373.5,-4.40428635
423597243.2,-3.1491871
429351021.0,-2.02009148
434205492.2,-1.48310311
439114850.7,-1.29365725
444079716.9,-1.35071999
449100718.6,-1.53561615
454178490.4,-1.7554161
459313674.2,-1.9522519
463463593.9,-2.07195531
468703760.0,-2.16208699
474003174.2,-2.18186999
478285814.2,-2.1478612
483693568.2,-2.04738234
489162465.2,-1.89004839
493582070.0,-1.7304117
499162771.6,-1.5000196
503672729.7,-1.30131594
508223435.4,-1.10054428
513969680.1,-0.86376868
518613419.2,-0.70019355
523299114.7,-0.57212532
529215813.1,-0.47676573
533997301.7,-0.46008549
538821991.2,-0.4985644
543690272.1,-0.58939468
548602538.1,-0.72568444
553559186.6,-0.89751589
558560618.7,-1.09326895
563607238.9,-1.30086615
568699455.6,-1.50871514
573837680.7,-1.70627997
579022329.8,-1.88432789
582941534.7,-2.00025192
588208437.6,-2.1258656
593522927.2,-2.21311399
598885433.5,-2.25723692
602939084.9,-2.25978533
608386666.6,-2.22046354
613883467.4,-2.131631
618038635.5,-2.03352451
623622642.3,-1.86534454
627843731.4,-1.71754269
633516327.7,-1.50807167
637804383.9,-1.35973425
643566975.1,-1.21291588
647923060.7,-1.17678716
653777074.6,-1.28740817
658202268.9,-1.5267753
662657415.8,-1.9194518
668644555.2,-2.67832819
673170382.4,-3.39934253
677726843.4,-4.21787159
683850135.8,-5.40704303
688478884.4,-6.33746481
693138963.4,-7.27826351
697830584.9,-8.21533242
702553962.3,-9.13927218
708901568.9,-10.3409842
713699882.1,-11.2156179
718530673.4,-12.065879
723394162.7,-12.8914775
728290571.4,-13.6927395
733220122.1,-14.4703669
738183039.3,-15.2252781
743179548.8,-15.9585027
748209877.9,-16.6711139
753274255.7,-17.3641849
758372912.5,-18.0387626
763506080.3,-18.6958521
768673992.9,-19.3364076
772138686.5,-19.7547055
777365030.2,-20.3696762
782626749.3,-20.9703894
787924083.1,-21.5575998
793257272.8,-22.1320114
798626561.0,-22.6942809
802226261.8,-23.0626855
807656258.0,-23.6060574
813123008.1,-24.1388288
818626760.7,-24.6615081
822316609.7,-25.0045901
827882590.6,-25.5114894
833486245.8,-26.0094956
837243071.9,-26.3367567
842910085.0,-26.8208128
848615456.2,-27.2969823
852440475.2,-27.6102139
858210354.3,-28.0739753
862078621.0,-28.3792231
867913737.5,-28.8314188
871825740.8,-29.1292172
877726832.2,-29.5706105
883667866.1,-30.0058592
887650879.1,-30.2927282
891651844.9,-30.5770381
897687132.4,-30.9988445
901733335.3,-31.2770328
907836861.1,-31.6899386
911928812.5,-31.9623735
918101347.9,-32.3669072
922239565.1,-32.6339261
928481890.5,-33.0305732
932666896.6,-33.2924867
936870766.0,-33.5524393
943212125.0,-33.9387882
947463525.7,-34.1940296
951734088.9,-34.4474595
958176052.7,-34.8242941
962494901.2,-35.0733662
966833216.3,-35.3207606
973377380.9,-35.6887848
977764747.3,-35.9321396
982171889.2,-36.1739375
986598895.7,-36.414211
993276847.4,-36.7718314
997753908.0,-37.0084293
1002251148.0,-37.2436092
1006768659.0,-37.4773995
1011306532.0,-37.709828
1018151722.0,-38.0559763
1022740902.0,-38.2851171
1027350768.0,-38.5129878
1031981412.0,-38.739613
1036632928.0,-38.9650168
1041305411.0,-39.1892228
1048353652.0,-39.5233354
